PPLOT,LAT,LONG,DEMSLOPE
1.000000,43.988373,-71.808824,2.22407532
2.000000,43.987970,-71.809436,3.09280467
3.000000,43.988099,-71.808223,1.02388000
4.000000,43.996210,-71.825389,9.62403679
5.000000,43.995243,-71.827889,9.86200809
6.000000,43.995113,-71.829012,13.11084270
7.000000,43.999729,-71.832680,23.44833374
8.000000,44.003634,-71.831542,21.35819054
9.000000,44.007175,-71.830319,21.08418655
10.000000,44.004182,-71.831553,26.61973381
11.000000,44.004407,-71.831022,25.01066589
12.000000,44.009331,-71.817504,24.74682045
13.000000,44.009063,-71.834074,34.49011993
14.000000,44.009514,-71.834182,34.99363708
15.000000,44.014615,-71.830668,26.77466965
16.000000,43.996580,-71.858311,15.74680042
17.000000,44.002116,-71.858032,18.19307899
18.000000,44.006665,-71.856149,18.04019737
19.000000,43.997948,-71.853231,18.04256439
20.000000,43.999541,-71.853231,15.96109581
21.000000,44.001129,-71.852399,22.59878540
22.000000,44.001220,-71.852335,22.77056122
23.000000,44.012566,-71.851836,25.86924362
24.000000,44.015254,-71.849266,24.82705688
25.000000,44.008677,-71.846691,23.52412415
26.000000,44.004782,-71.845028,21.74521828
27.000000,44.004412,-71.845120,17.92475891
